Field,series,Mean,Median,Min,Max,Variance,P2P_amplitude,Trend_slope,Spectral_centroid,Spectral_rolloff,Spectral_entropy,Strength_of_trend,Mean_crossing_rate,Median_crossing_rate,is_stationary
,kalimati_tarkari_dataset_0,124.42281066112842,105.0,55.0,290.0,1568.2610892272032,235.0,0.0204789914587138,0.0884291904686438,0.4108688127379716,0.4646821011365269,4.255892912585268,0.0294321329639889,0.0689058171745152,False
,kalimati_tarkari_dataset_1,101.38369678089305,115.0,52.5,305.0,789.8926694768168,252.5,0.0030258029687158,0.1048285921790712,0.4392523364485982,0.3737502063259639,3.649791223692452,0.0090027700831024,0.0159279778393351,False
,kalimati_tarkari_dataset_2,77.70941502249913,75.0,42.5,525.0,428.6702332680284,482.5,0.0122629216124917,0.1752269114975564,0.4707511249567325,0.6928769134823657,1.1598799890205262,0.0412049861495844,0.0699445983379501,True
,kalimati_tarkari_dataset_3,67.47144340602284,62.5,12.5,235.0,1231.237069602282,222.5,0.0097439795927945,0.1112869759354162,0.430944963655244,0.3333277773176035,3.6532661509497273,0.0623268698060941,0.0557479224376731,True
,kalimati_tarkari_dataset_4,39.556593977154726,37.5,10.0,85.0,124.25216230001216,75.0,0.0055800318042929,0.1154587257262952,0.4319833852544133,0.6314025695686865,2.1947450030640137,0.0976454293628808,0.1682825484764543,True
,kalimati_tarkari_dataset_5,49.30339217722396,45.0,11.0,245.0,557.6974132075665,234.0,0.0051190009912228,0.1063015608421742,0.4233298719280028,0.5269752770488214,3.214004399807256,0.049168975069252,0.08898891966759,True
,kalimati_tarkari_dataset_6,37.67410868812738,35.0,13.5,115.0,186.54254874692649,101.5,0.0076657384484045,0.1112727733116728,0.4278296988577362,0.5756730107756002,2.6637709117435,0.0699445983379501,0.1018005540166205,True
,kalimati_tarkari_dataset_7,27.36431291104188,23.5,5.5,97.5,207.9942231433454,92.0,0.0035332526575631,0.1001556469210093,0.4250605745932849,0.4508365455717218,3.962123563292375,0.0408587257617728,0.049168975069252,True
,kalimati_tarkari_dataset_8,75.8257182416061,67.5,12.5,275.0,965.6753198804658,262.5,0.006082619039635,0.1160163496275448,0.4312911041883004,0.5664872943169538,2.596243762739811,0.0869113573407202,0.1101108033240997,True
,kalimati_tarkari_dataset_9,62.43406022845275,55.0,13.5,195.0,999.6611936564362,181.5,0.0066877296178644,0.1022935268091956,0.4226375908618899,0.3519043746032694,4.234773191269565,0.0339335180055401,0.0526315789473684,True
,kalimati_tarkari_dataset_10,48.303911388023536,45.0,9.0,195.0,637.8955229495716,186.0,0.0082088984675814,0.1164275863563564,0.4340602284527518,0.453615406231075,3.1002266952757305,0.056786703601108,0.095567867036011,True
,kalimati_tarkari_dataset_11,248.51332641052267,235.0,42.5,425.0,3508.1220965500543,382.5,0.0454683284497787,0.0800280264040149,0.4157147802007615,0.2624497777310257,5.324310542937435,0.006578947368421,0.0124653739612188,False
,kalimati_tarkari_dataset_12,63.75874004845967,57.5,25.0,295.0,678.0586160656813,270.0,0.0111222068413319,0.1346052678611113,0.4444444444444445,0.654182992474036,1.892779300757996,0.0910664819944598,0.1416204986149584,True
,kalimati_tarkari_dataset_13,121.96053997923156,95.0,22.5,595.0,9016.207511788722,572.5,0.025216751560163,0.1295105021871103,0.4482519903080651,0.5440536490600755,2.548602043879714,0.0678670360110803,0.1343490304709141,True
,kalimati_tarkari_dataset_14,62.62737971616476,57.5,22.5,190.0,601.9552178139455,167.5,0.0098910550632784,0.1069286294270458,0.4271374177916234,0.544096343327454,3.008821365027957,0.0450138504155124,0.0661357340720221,True
,kalimati_tarkari_dataset_15,55.41588785046729,52.5,13.5,165.0,609.9247354612861,151.5,0.0130417679207103,0.1084037163191955,0.4278296988577362,0.5585245425596094,2.9847678129339976,0.0896814404432133,0.1132271468144044,False
,kalimati_tarkari_dataset_16,59.245413637937006,55.0,17.5,145.0,545.1806859573211,127.5,0.0104772582843034,0.1019884335504805,0.4191761855313257,0.6091745695479386,2.9630757633680083,0.0754847645429362,0.1346952908587257,True
,kalimati_tarkari_dataset_17,193.44461751471096,175.0,77.5,655.0,7801.145773209523,577.5,0.037801874605344,0.072373974564088,0.3973693319487712,0.31837453736222,7.552809189494376,0.0121191135734072,0.0200831024930747,False
,kalimati_tarkari_dataset_18,98.75077881619936,95.0,32.5,410.0,2340.0779026471646,377.5,0.0301607057182025,0.1074038853978369,0.4212530287296643,0.4587967084696241,3.388582667949634,0.0367036011080332,0.0754847645429362,True
,kalimati_tarkari_dataset_19,100.2502596053998,92.5,42.5,285.0,2222.10074846152,242.5,0.0041113302238514,0.0893374469552855,0.4209068881966079,0.3056806413738179,5.916810423685243,0.0155817174515235,0.010387811634349,False
,kalimati_tarkari_dataset_20,345.9944617514711,350.0,65.0,1475.0,31125.27411263013,1410.0,-0.1115305466838983,0.0942493229951506,0.4222914503288335,0.4079183538073716,4.3320301975260165,0.0110803324099723,0.0221606648199446,False
,kalimati_tarkari_dataset_21,140.2673935617861,125.0,32.5,400.0,3735.0379676266793,367.5,0.0296647872180293,0.1042768903790321,0.4274835583246799,0.3530582703371857,4.077784156940422,0.0380886426592797,0.0547091412742382,False
